strain	t-sne_label_for_Nextclade_pango_collapsed	Nextclade_pango_collapsed
Denmark/DCGC-276130/2021	27	B.1.617.2
USA/MN-CDC-IBX980583181908/2021	18	AY.3
BGD/Laila_216/2021	12	B.1.617.2
NZL/21MV0256/2021	27	B.1.617.2
England/ALDP-1EB477E/2021	27	AY.4
England/ALDP-174C52D/2021	27	AY.4
OU515782	27	AY.4
SouthAfrica/NHLS-UCT-LA-Z707/2021	4	AY.32
SouthAfrica/NHLS-UCT-GS-I837/2021	20	AY.91
USA/CA-CDPH-3000261185/2021	18	AY.3
USA/CA-CDPH-3000261192/2021	23	AY.25
England/ALDP-1A42876/2021	27	AY.4
HongKong/HKPU-00195/2021	13	AY.23
England/PLYM-1C15A0B/2021	25	AY.120
OV017503	27	B.1.617.2
LAO/LOMWRU-0947/2021	5	AY.85
CHL/AR-UFRO-0196/2021	21	AY.43
OX317126	27	B.1.617.2
THA/CONI-0903/2021	5	AY.85
KEN/C94833/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-GS-9714/2021	-1	AY.107
USA/MI-CDC-QDX32187701/2021	24	AY.103
NGA/CV2371/2021	6	AY.36
LAO/LOMWRU-0462/2021	3	AY.1
USA/1998300/2021	27	B.1.617.2
USA/WA-UW-21041954910/2021	27	B.1.617.2
BRA/PR-NVBS5873GENOV828101236612/2021	11	AY.101
KEN/SS1194/2021	27	AY.46
USA/NV-CDC-QDX28508566/2021	27	AY.20
England/BRBR-1E24DE0/2021	27	AY.4
GAB/7192_Gabon/2021	10	B.1.617.2
USA/2078211_BB1L13/2021	-1	AY.25
NGA/CV3275/2021	6	AY.36
NZL/21MV1835/2021	8	AY.39.1.1
SouthAfrica/NHLS-UCT-GS-C003/2021	4	AY.32
IND/GBRC1264/2021	25	AY.120
USA/FL-CDC-LC0139720/2021	27	AY.119
USA/NJ-PHEL-V21035335/2021	-1	AY.103
Scotland/QEUH-2A565C0/2021	27	AY.4
Switzerland/SH-ETHZ-34896003/2021	27	B.1.617.2
NGA/CV2812/2021	6	AY.36
Japan/SZ-NIG-3-C11444/2021	16	AY.29
USA/NY-CDC-ASC210424754/2021	23	AY.25
OV107421	27	B.1.617.2
SouthAfrica/NHLS-UCT-GS-AF24/2021	27	B.1.617.2
England/LOND-13706A9/2021	27	AY.4
HongKong/HKU-220213-211/2021	27	AY.4.2
BRA/RJ-NXBS5123GENOV827947814084/2021	1	AY.99.2
Japan/SZ-NIG-Y21573/2021	13	AY.23
OV104214	-1	AY.122
England/ALDP-2B8A225/2021	27	AY.4
LAO/LOMWRU-1179/2021	3	AY.1
USA/CA-OC-1710/2022	24	AY.103
NZL/21MV0864/2021	9	AY.39.1.1
NZL/21MV2596/2021	8	AY.39.1.1
IND/GBRC1280/2021	25	AY.120
USA/ALTCOV-NIZ34D4DTP6QT4DV/2021	-1	B.1.617.2
USA/UT-UPHL-210710299852/2021	2	AY.44
BHR/342472311/2021	-1	B.1.617.2
BRA/SP-NVBS8189GENOV45616668244/2021	21	AY.43
IND/GBRC726/2021	27	AY.122
England/ALDP-157F8B1/2021	25	AY.120
USA/GA-CDC-LC0141827/2021	-1	AY.103
USA/GA-CDC-LC0138191/2021	27	B.1.617.2
SouthAfrica/NHLS-UCT-GP-6643/2021	4	AY.32
NGA/CV4721/2021	6	AY.36
