strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
BRA/2016/FC_6696	zika	KY014313	2016-04-05	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY014313	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_6703	zika	KY785439	2016-04-08	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785439	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_6706	zika	KY785433	2016-04-08	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785433	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_6863	zika	KY785450	2016-04-12	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785450	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_6864	zika	KY014297	2016-04-12	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY014297	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ107D1	zika	KY014301	2016-04-13	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY014301	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ116D1	zika	KY785429	2016-04-14	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785429	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ122D1	zika	KY785456	2016-04-15	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785456	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ12D1	zika	KY785436	2016-03-15	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785436	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ131D1	zika	KY014296	2016-04-18	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY014296	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ192D1	zika	KY785485	2016-05-10	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785485	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ28D1	zika	KY014317	2016-03-21	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY014317	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ42D1	zika	KY014320	2016-03-23	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY014320	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ47D1	zika	KY014309	2016-03-28	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY014309	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ49D1	zika	KY014307	2016-03-28	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY014307	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ58D1	zika	KY785427	2016-03-30	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785427	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ5D1	zika	KY785437	2016-03-14	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785437	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ60D1	zika	KY785411	2016-03-30	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785411	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ62D1	zika	KY785480	2016-03-30	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785480	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ62D2	zika	KY785455	2016-04-06	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785455	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ68D1	zika	KY785467	2016-04-01	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785467	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/FC_DQ75D1	zika	KY785409	2016-04-04	south_america	brazil	brazil	brazil	genbank	genome	Metsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KY785409	Zika virus evolution and spread in the Americas	Nature 546 (7658), 411-415 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/28538734
BRA/2016/ZKV17Asem_2016_04_26	zika	MH882527	2016-04-26	south_america	brazil	brazil	brazil	genbank	genome	Oliveira et al	https://www.ncbi.nlm.nih.gov/nuccore/MH882527	Persistence and Intra-Host Genetic Evolution of Zika Virus Infection in Symptomatic Adults: A Special View in the Male Reproductive System	Viruses 10 (11), E615 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/30405055
BRA/2016/ZKV17Auri_2016_04_26	zika	MH882528	2016-04-26	south_america	brazil	brazil	brazil	genbank	genome	Oliveira et al	https://www.ncbi.nlm.nih.gov/nuccore/MH882528	Persistence and Intra-Host Genetic Evolution of Zika Virus Infection in Symptomatic Adults: A Special View in the Male Reproductive System	Viruses 10 (11), E615 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/30405055
BRA/2016/ZKV17Bsem_2016_05_03	zika	MH882529	2016-05-03	south_america	brazil	brazil	brazil	genbank	genome	Oliveira et al	https://www.ncbi.nlm.nih.gov/nuccore/MH882529	Persistence and Intra-Host Genetic Evolution of Zika Virus Infection in Symptomatic Adults: A Special View in the Male Reproductive System	Viruses 10 (11), E615 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/30405055
BRA/2016/ZKV17Csem_2016_05_10	zika	MH882530	2016-05-10	south_america	brazil	brazil	brazil	genbank	genome	Oliveira et al	https://www.ncbi.nlm.nih.gov/nuccore/MH882530	Persistence and Intra-Host Genetic Evolution of Zika Virus Infection in Symptomatic Adults: A Special View in the Male Reproductive System	Viruses 10 (11), E615 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/30405055
BRA/2016/ZKV17Dsem_2016_05_17	zika	MH882531	2016-05-17	south_america	brazil	brazil	brazil	genbank	genome	Oliveira et al	https://www.ncbi.nlm.nih.gov/nuccore/MH882531	Persistence and Intra-Host Genetic Evolution of Zika Virus Infection in Symptomatic Adults: A Special View in the Male Reproductive System	Viruses 10 (11), E615 (2018)	https://www.ncbi.nlm.nih.gov/pubmed/30405055
