strain,tsne_x,tsne_y,t-sne_label
A/Germany/9050/2019,-35.10452,-1.829182,0
A/Germany/9348/2019,-34.782024,-1.6373208,0
A/Italy/9498/2019,-35.628838,-1.0113547,0
A/Germany/8910/2019,-35.1045,-1.8291693,0
A/Germany/9353/2019,-34.78103,-1.6367575,0
A/Germany/9673/2019,-34.782024,-1.6373194,0
A/Colorado/9737/2019,-39.82626,1.7971545,0
A/Italy/8440/2019,-40.87755,1.159865,0
A/Italy/8946/2019,-41.26954,1.2199315,0
A/Mississippi/8271/2018,-40.040775,1.0079415,0
A/Italy/9503/2019,-41.741276,1.3361155,0
A/Italy/9504/2019,-42.00613,1.3783494,0
A/Italy/8767/2019,-39.26075,0.83011806,0
A/England/9619/2019,-41.42582,4.450526,0
A/Germany/9356/2019,-40.088066,2.621556,0
A/Germany/9668/2019,-41.11133,2.3039284,0
A/Georgia/8132/2019,-40.58215,-0.20400596,0
A/NewJersey/9382/2019,-40.73852,0.51487607,0
A/Spain/8834/2019,-35.06848,-0.6347024,0
A/California/NHRC-OID_28773/2019,-43.15901,-1.636734,0
A/California/NHRC_OID_FDX40871/2019,-43.935028,-2.3776698,0
A/Italy/8939/2019,-43.93503,-2.3776708,0
A/Yokosuka/NHRC_OID_FDX70722/2019,-43.935028,-2.3776698,0
A/NorthDakota/9094/2019,-43.431614,-3.4078038,0
A/Maryland/9628/2019,-43.935028,-2.3776698,0
A/Oklahoma/8339/2019,-43.831078,-1.1190319,0
A/Texas/7943/2019,-45.00983,-3.337598,0
A/Germany/9059/2019,-43.650394,-3.9421887,0
A/Texas/8692/2019,-42.922203,-3.5533378,0
A/Ohio/9746/2019,-42.096394,4.0078344,0
A/NewYork/9517/2019,-40.843918,4.41948,0
A/Italy/9501/2019,-43.79413,5.1097364,0
A/Italy/9690/2019,-43.89346,5.122067,0
A/Italy/9689/2019,-43.891724,5.122465,0
A/Italy/9499/2019,-34.309105,-0.17466976,0
A/Japan/9070/2019,-41.346,-3.5800252,0
A/Virginia/9140/2019,-38.280056,2.6305537,0
A/Florida/9664/2019,-39.15658,3.2230208,0
A/Italy/8763/2019,-36.067345,-2.835091,0
A/Germany/9496/2019,-36.778522,-1.9591966,0
A/England/7208/2018,-29.777256,1.4006621,0
A/England/8742/2019,-30.92002,4.155927,0
A/Maryland/6851/2018,-30.227291,-0.13827701,0
A/NorthCarolina/9546/2019,-42.87786,1.6917787,0
A/Minnesota/40/2018,-28.763165,1.1762998,0
