strain	date	accession	country	region
A/Delaware/13/2015	2015-02-24	KT842393	USA	N
A/Delaware/13/2017	2017-02-13	CY223886	USA	N
A/Delaware/15/2017	2017-02-24	CY224838	USA	N
A/Delaware/16/2016	2016-03-28	KX416216	USA	N
A/Delaware/16/2018	2018-02-26	MH246311	USA	N
A/Delaware/16/2019	2019-02-21	MK856745	USA	N
A/Delaware/17/2015	2015-01-26	KY090401	USA	N
A/Delaware/18/2015	2015-02-23	KT842403	USA	N
A/Delaware/18/2019	2019-03-08	MN246594	USA	N
A/Delaware/19/2017	2017-03-21	CY227902	USA	N
A/Delaware/21/2018	2018-03-12	MH845846	USA	N
A/Delaware/22/2015	2015-03-08	KT842822	USA	N
A/Delaware/22/2017	2017-03-23	CY228581	USA	N
A/Delaware/22/2019	2019-03-10	MN084291	USA	N
A/Delaware/23/2018	2018-03-23	MH358574	USA	N
A/Delaware/24/2017	2017-04-03	CY232436	USA	N
A/Delaware/25/2018	2018-03-25	MH358582	USA	N
A/Delaware/25/2019	2019-03-18	MN221917	USA	N
A/Delaware/27/2018	2018-03-30	MK241188	USA	N
A/Delaware/28/2016	2016-10-27	CY209000	USA	N
A/Delaware/29/2017	2017-09-06	CY245118	USA	N
A/Delaware/30/2016	2016-11-06	CY210329	USA	N
A/Delaware/30/2017	2017-09-17	CY247182	USA	N
A/Delaware/30/2018	2018-04-23	MH600625	USA	N
A/Delaware/31/2016	2016-11-09	CY211697	USA	N
A/Delaware/31/2017	2017-09-19	CY247189	USA	N
A/Delaware/31/2019	2019-04-10	MN084312	USA	N
A/Delaware/32/2016	2016-11-15	CY243439	USA	N
A/Delaware/33/2016	2016-11-15	CY210416	USA	N
A/Delaware/33/2018	2018-08-06	MK027471	USA	N
A/Delaware/34/2015	2015-03-24	KY090228	USA	N
A/Delaware/34/2019	2019-04-17	MN221938	USA	N
A/Delaware/35/2017	2017-10-20	CY258021	USA	N
A/Delaware/36/2015	2015-03-07	KY090505	USA	N
A/Delaware/36/2016	2016-11-30	CY213794	USA	N
A/Delaware/36/2019	2019-04-24	MN221946	USA	N
A/Delaware/38/2015	2015-03-10	KY090238	USA	N
A/Delaware/38/2016	2016-12-04	CY211802	USA	N
A/Delaware/38/2019	2019-05-10	MN372599	USA	N
A/Delaware/39/2016	2016-12-19	CY212994	USA	N
A/Delaware/39/2017	2017-11-13	CY260969	USA	N
A/Delaware/39/2019	2019-05-28	MN637889	USA	N
A/Delaware/40/2016	2016-12-19	CY213002	USA	N
A/Delaware/40/2018	2018-11-03	MK398599	USA	N
A/Delaware/40/2019	2019-05-29	MN372607	USA	N
A/Delaware/41/2017	2017-12-04	CY264107	USA	N
A/Delaware/41/2019	2019-06-03	MN319038	USA	N
A/Delaware/42/2017	2017-12-04	CY264115	USA	N
A/Delaware/43/2017	2017-12-05	CY264758	USA	N
A/Delaware/44/2015	2015-12-02	KX412510	USA	N
A/Delaware/46/2015	2015-12-21	KX412558	USA	N
A/Delaware/46/2017	2017-12-19	MG830962	USA	N
A/Delaware/46/2019	2019-08-21	MN581508	USA	N
A/Delaware/4619/2015	2015-01-27	CY193872	USA	N
A/Delaware/4620/2015	2015-01-30	CY193873	USA	N
A/Delaware/47/2017	2017-12-19	MG830968	USA	N
A/Delaware/47/2019	2019-09-02	MN638491	USA	N
A/Delaware/49/2017	2017-12-30	MH082140	USA	N
A/Delaware/49/2019	2019-10-22	MN819995	USA	N
A/Delaware/50/2018	2018-12-25	MK554978	USA	N
A/Delaware/52/2019	2019-11-22	MT031003	USA	N
A/Delaware/57/2019	2019-12-13	MT056250	USA	N
A/Delaware/5728/2017	2017-01-11	CY235010	USA	N
A/Delaware/58/2019	2019-12-18	MT056258	USA	N
A/Delaware/59/2019	2019-12-24	MT168805	USA	N
A/Delaware/60/2019	2019-12-25	MT168813	USA	N
A/Delaware/6043/2017	2017-02-15	CY244155	USA	N
A/Delaware/6673/2018	2018-01-12	MH779021	USA	N
A/Delaware/7011/2018	2018-01-30	MK381999	USA	N
A/Delaware/7123/2018	2018-02-06	MK400719	USA	N
A/Delaware/8885/2019	2019-02-11	MK927714	USA	N
A/Delaware/9032/2019	2019-03-19	MN169416	USA	N
A/Delware/4741/2015	2015-02-04	CY193994	USA	N
A/DistrictOfColumbia/01/2018	2018-01-23	MK240864	USA	N
A/DistrictOfColumbia/01/2020	2020-01-12	MT245426	USA	N
A/DistrictOfColumbia/03/2018	2018-01-25	MK240928	USA	N
A/DistrictOfColumbia/03/2019	2019-01-03	MK744904	USA	N
A/DistrictOfColumbia/04/2017	2017-10-01	MH669619	USA	N
A/DistrictOfColumbia/06/2018	2018-02-09	MK240646	USA	N
A/DistrictOfColumbia/07/2017	2017-12-14	MH669643	USA	N
A/DistrictOfColumbia/08/2017	2017-12-16	MH669651	USA	N
A/DistrictOfColumbia/12/2017	2017-12-29	MH669667	USA	N
A/DistrictOfColumbia/12/2018	2018-02-27	MK240584	USA	N
A/DistrictOfColumbia/12/2019	2019-02-18	MN221957	USA	N
A/DistrictOfColumbia/14/2019	2019-03-04	MN221965	USA	N
A/DistrictOfColumbia/15/2018	2018-03-05	MH540789	USA	N
A/DistrictOfColumbia/15/2019	2019-03-02	MN084331	USA	N
A/DistrictOfColumbia/16/2018	2018-03-06	MH540797	USA	N
A/DistrictOfColumbia/18/2018	2018-03-14	MH600641	USA	N
A/DistrictOfColumbia/20/2018	2018-03-30	MH600649	USA	N
A/DistrictOfColumbia/21/2018	2018-02-03	MH669675	USA	N
A/DistrictOfColumbia/22/2019	2019-04-02	MN084352	USA	N
A/DistrictOfColumbia/23/2018	2018-03-30	MH669680	USA	N
A/DistrictOfColumbia/26/2018	2018-10-22	MK398623	USA	N
A/DistrictOfColumbia/26/2019	2019-04-07	MN084368	USA	N
A/DistrictOfColumbia/27/2019	2019-04-07	MN221986	USA	N
A/DistrictOfColumbia/31/2019	2019-04-19	MN423662	USA	N
A/DistrictOfColumbia/33/2019	2019-04-27	MN372623	USA	N
A/DistrictOfColumbia/34/2018	2018-12-26	MK744912	USA	N
A/DistrictOfColumbia/35/2018	2018-12-28	MK744920	USA	N
A/DistrictOfColumbia/35/2019	2019-05-05	MN372493	USA	N
A/DistrictOfColumbia/36/2018	2018-11-29	MK856777	USA	N
A/DistrictOfColumbia/37/2019	2019-07-10	MN423694	USA	N
A/DistrictOfColumbia/39/2019	2019-08-12	MN638499	USA	N
A/DistrictOfColumbia/45/2019	2019-11-01	MN948529	USA	N
A/DistrictOfColumbia/50/2019	2019-11-26	MT031011	USA	N
A/DistrictOfColumbia/54/2019	2019-12-14	MT105418	USA	N
A/DistrictOfColumbia/55/2019	2019-12-15	MT105426	USA	N
A/DistrictofColumbia/4742/2015	2015-02-11	CY193995	USA	N
A/DistrictofColumbia/6044/2017	2017-02-10	CY244156	USA	N
A/DistrictofColumbia/6046/2017	2017-02-17	CY244158	USA	N
A/DistrictofColumbia/8120/2019	2019-01-24	MK762967	USA	N
A/England/6942/2018	2018-02-07	MK381474	United Kingdom	N
A/England/7013/2018	2018-01-07	MK382001	United Kingdom	N
A/England/7014/2018	2018-01-08	MK382002	United Kingdom	N
A/England/7126/2018	2018-01-16	MK400722	United Kingdom	N
A/England/7127/2018	2018-02-01	MK400723	United Kingdom	N
A/England/7208/2018	2018-04-04	MK401374	United Kingdom	N
A/England/7211/2018	2018-02-09	MK401377	United Kingdom	N
A/England/7334/2018	2018-01-31	MK502368	USA	N
A/England/7335/2018	2018-03-12	MK502376	United Kingdom	N
A/England/7400/2018	2018-02-27	MK502408	United Kingdom	N
A/England/7821/2019	2019-01-03	MK576794	United Kingdom	N
A/England/7823/2019	2019-01-07	MK576221	United Kingdom	N
A/England/7963/2019	2019-01-10	MK742941	United Kingdom	N
A/England/7964/2019	2019-01-10	MK743242	United Kingdom	N
A/England/8122/2019	2019-01-29	MK763560	United Kingdom	N
A/England/8581/2019	2019-01-30	MK869107	United Kingdom	N
A/England/8741/2019	2019-02-28	MK912582	United Kingdom	N
A/England/8742/2019	2019-03-12	MK912590	United Kingdom	N
A/England/8887/2019	2019-02-06	MK927722	United Kingdom	N
A/England/8892/2019	2019-02-08	MK927730	United Kingdom	N
A/England/8893/2019	2019-02-09	MK927738	United Kingdom	N
A/England/9336/2019	2019-03-26	MK960420	United Kingdom	N
A/England/9338/2019	2019-04-03	MK960115	United Kingdom	N
A/England/9617/2019	2019-04-11	MN078507	United Kingdom	N
A/England/9619/2019	2019-04-16	MN078515	United Kingdom	N
A/England/9658/2019	2019-04-16	MN081082	United Kingdom	N
A/England/9662/2019	2019-04-22	MN081106	United Kingdom	N
A/Firuzkuh/49748/2016	2016-03-26	KY328772	Iran	N
A/Florida/01/2015	2015-01-02	KT841714	USA	N
A/Florida/01/2016	2016-01-07	KX413809	USA	N
A/Florida/01/2017	2017-01-04	CY215106	USA	N
A/Florida/02/2018	2018-01-05	MH082156	USA	N
A/Florida/03/2017	2017-01-07	CY215953	USA	N
A/Florida/03/2019	2019-01-09	MK744928	USA	N
A/Florida/04/2015	2015-01-07	KT841441	USA	N
A/Florida/05/2017	2017-01-20	CY216705	USA	N
A/Florida/05/2018	2018-01-10	MH082172	USA	N
A/Florida/06/2015	2015-01-03	KT841729	USA	N
A/Florida/06/2017	2017-01-26	CY219201	USA	N
A/Florida/06/2019	2019-01-14	MK744936	USA	N
A/Florida/07/2015	2015-01-05	KT841859	USA	N
A/Florida/07/2016	2016-01-22	KX414089	USA	N
A/Florida/07/2017	2017-01-16	CY220359	USA	N
A/Florida/08/2017	2017-01-24	CY220367	USA	N
A/Florida/09/2015	2015-01-05	KT841843	USA	N
A/Florida/10/2015	2015-01-02	KT841800	USA	N
A/Florida/10/2017	2017-02-08	CY223734	USA	N
A/Florida/10/2020	2020-01-17	MT245458	USA	N
A/Florida/100/2016	2016-11-27	CY211994	USA	N
A/Florida/101/2017	2017-12-11	CY264926	USA	N
A/Florida/101/2018	2018-11-05	MK363483	USA	N
A/Florida/103/2016	2016-12-08	CY212057	USA	N
A/Florida/103/2017	2017-12-20	MG830975	USA	N
A/Florida/104/2015	2015-12-23	KX413801	USA	N
A/Florida/104/2016	2016-12-01	CY213050	USA	N
A/Florida/104/2017	2017-12-20	MG830987	USA	N
A/Florida/106/2016	2016-12-26	CY214490	USA	N
A/Florida/106/2018	2018-11-13	MK398646	USA	N
A/Florida/107/2019	2019-09-25	MN820019	USA	N
A/Florida/109/2018	2018-11-15	MK398639	USA	N
A/Florida/11/2015	2015-01-06	KT841654	USA	N
A/Florida/11/2017	2017-02-13	CY223742	USA	N
A/Florida/11/2019	2019-01-22	MK676915	USA	N
A/Florida/11/2020	2020-01-17	MT245466	USA	N
A/Florida/110/2017	2017-09-27	MH601329	USA	N
A/Florida/110/2019	2019-10-02	MN820035	USA	N
A/Florida/111/2016	2016-12-24	CY219123	USA	N
A/Florida/111/2017	2017-09-28	MH601339	USA	N
A/Florida/112/2018	2018-11-28	MK474899	USA	N
A/Florida/114/2019	2019-10-15	MN819850	USA	N
A/Florida/115/2018	2018-12-03	MK474869	USA	N
A/Florida/115/2019	2019-10-14	MN948570	USA	N
A/Florida/116/2017	2017-10-17	MH601351	USA	N
A/Florida/116/2019	2019-10-18	MN948577	USA	N
A/Florida/119/2017	2017-10-31	MH601378	USA	N
A/Florida/119/2018	2018-12-03	MK554994	USA	N
A/Florida/12/2015	2015-01-07	KT841640	USA	N
A/Florida/12/2017	2017-02-10	CY223918	USA	N
A/Florida/12/2019	2019-01-22	MK676923	USA	N
A/Florida/120/2017	2017-10-31	MH601386	USA	N
A/Florida/121/2018	2018-12-11	MK555002	USA	N
A/Florida/121/2019	2019-10-29	MN948594	USA	N
A/Florida/122/2017	2017-11-08	MH669489	USA	N
A/Florida/124/2019	2019-11-14	MN948601	USA	N
A/Florida/127/2018	2018-12-29	MK744984	USA	N
A/Florida/127/2019	2019-11-21	MN975659	USA	N
A/Florida/128/2018	2018-12-27	MK744992	USA	N
A/Florida/13/2017	2017-02-11	CY223910	USA	N
A/Florida/13/2018	2018-01-29	MH126641	USA	N
A/Florida/130/2019	2019-11-25	MN975667	USA	N
A/Florida/134/2019	2019-12-09	MT031043	USA	N
A/Florida/14/2017	2017-02-14	CY227206	USA	N
A/Florida/14/2019	2019-01-25	MK676939	USA	N
A/Florida/143/2019	2019-12-30	MT105450	USA	N
A/Florida/144/2019	2019-12-29	MT245483	USA	N
A/Florida/15/2016	2016-01-22	KX414649	USA	N
A/Florida/15/2017	2017-02-14	CY224062	USA	N
A/Florida/15/2018	2018-01-30	MH126648	USA	N
A/Florida/15/2019	2019-02-04	MK856496	USA	N
A/Florida/16/2015	2015-01-06	KT841869	USA	N
A/Florida/16/2018	2018-01-30	MH126657	USA	N
A/Florida/16/2019	2019-02-04	MK856809	USA	N
A/Florida/17/2017	2017-02-19	CY227398	USA	N
A/Florida/18/2015	2015-02-02	KT842025	USA	N
A/Florida/18/2017	2017-03-04	CY227430	USA	N
A/Florida/18/2018	2018-01-31	MH126662	USA	N
A/Florida/19/2015	2015-02-01	KT842740	USA	N
A/Florida/19/2017	2017-03-08	CY227438	USA	N
A/Florida/20/2016	2016-02-11	KX414936	USA	N
A/Florida/20/2017	2017-03-02	CY227662	USA	N
A/Florida/21/2015	2015-01-21	KT836288	USA	N
A/Florida/21/2018	2018-02-05	MH233391	USA	N
A/Florida/21/2019	2019-02-16	MK856817	USA	N
A/Florida/22/2017	2017-03-20	CY228413	USA	N
A/Florida/22/2018	2018-02-12	MH585932	USA	N
A/Florida/23/2015	2015-01-13	KY090251	USA	N
A/Florida/23/2017	2017-03-23	CY228429	USA	N
A/Florida/24/2015	2015-01-20	KT836178	USA	N
A/Florida/24/2018	2018-02-14	MH233399	USA	N
A/Florida/24/2019	2019-02-22	MN246706	USA	N
A/Florida/25/2018	2018-02-15	MH233407	USA	N
A/Florida/25/2019	2019-02-27	MN084379	USA	N
A/Florida/26/2015	2015-03-17	KT843303	USA	N
A/Florida/26/2019	2019-02-26	MN246733	USA	N
A/Florida/27/2015	2015-03-05	KT842892	USA	N
A/Florida/27/2017	2017-03-30	CY232404	USA	N
A/Florida/27/2019	2019-02-27	MN246738	USA	N
A/Florida/28/2015	2015-03-04	KY089844	USA	N
A/Florida/28/2016	2016-03-02	KX415432	USA	N
A/Florida/28/2017	2017-04-04	CY232412	USA	N
A/Florida/28/2018	2018-02-22	MH898120	USA	N
A/Florida/29/2017	2017-01-07	CY242102	USA	N
A/Florida/30/2017	2017-02-07	CY234176	USA	N
A/Florida/31/2015	2015-02-05	KT842159	USA	N
A/Florida/31/2016	2016-02-26	KX415448	USA	N
A/Florida/31/2017	2017-02-25	CY234184	USA	N
A/Florida/31/2018	2018-02-26	MK240920	USA	N
A/Florida/31/2019	2019-03-06	MN222005	USA	N
A/Florida/33/2019	2019-03-12	MN222013	USA	N
A/Florida/34/2018	2018-03-06	MK240856	USA	N
A/Florida/35/2016	2016-03-07	KX416024	USA	N
A/Florida/36/2017	2017-04-19	CY234562	USA	N
A/Florida/36/2019	2019-03-25	MN084392	USA	N
A/Florida/37/2017	2017-04-27	CY234842	USA	N
A/Florida/37/2018	2018-03-07	MH306863	USA	N
A/Florida/38/2016	2016-03-13	KX416032	USA	N
A/Florida/38/2017	2017-04-30	CY234834	USA	N
A/Florida/39/2017	2017-05-10	CY235872	USA	N
A/Florida/39/2019	2019-03-26	MN084400	USA	N
A/Florida/40/2017	2017-05-19	CY235880	USA	N
A/Florida/41/2017	2017-05-22	CY235912	USA	N
A/Florida/41/2019	2019-03-27	MN222045	USA	N
A/Florida/42/2015	2015-03-31	KY089269	USA	N
A/Florida/42/2017	2017-06-07	CY238907	USA	N
A/Florida/4256/2015	2015-01-02	CY193509	USA	N
A/Florida/43/2015	2015-03-31	KT843091	USA	N
A/Florida/43/2016	2016-03-18	KX416048	USA	N
A/Florida/43/2017	2017-06-20	CY239896	USA	N
A/Florida/44/2015	2015-04-02	KY089969	USA	N
A/Florida/44/2016	2016-03-30	KX416416	USA	N
A/Florida/44/2017	2017-06-23	CY239888	USA	N
A/Florida/44/2019	2019-04-08	MN084408	USA	N
A/Florida/4404/2015	2015-01-08	CY193657	USA	N
A/Florida/45/2015	2015-04-18	KT843483	USA	N
A/Florida/45/2017	2017-06-25	CY239936	USA	N
A/Florida/45/2018	2018-03-29	MH358598	USA	N
A/Florida/45/2019	2019-04-09	MN084416	USA	N
A/Florida/4510/2015	2015-01-14	CY193763	USA	N
A/Florida/4511/2015	2015-01-16	CY193764	USA	N
A/Florida/4512/2015	2015-01-09	CY193765	USA	N
A/Florida/46/2015	2015-04-18	KT843532	USA	N
A/Florida/46/2017	2017-07-05	CY239944	USA	N
A/Florida/4623/2015	2015-01-26	CY193876	USA	N
A/Florida/4624/2015	2015-01-28	CY193877	USA	N
A/Florida/47/2017	2017-07-09	CY242078	USA	N
A/Florida/48/2017	2017-07-09	CY242086	USA	N
A/Florida/48/2019	2019-04-08	MN084424	USA	N
A/Florida/49/2015	2015-04-26	KT843385	USA	N
A/Florida/49/2018	2018-04-04	MK241141	USA	N
A/Florida/50/2015	2015-06-03	KT844384	USA	N
A/Florida/50/2016	2016-03-26	KX416448	USA	N
A/Florida/50/2017	2017-07-26	CY242350	USA	N
A/Florida/50/2018	2018-04-06	MK241172	USA	N
A/Florida/51/2015	2015-06-09	KT844316	USA	N
A/Florida/51/2019	2019-04-14	MN319073	USA	N
A/Florida/53/2018	2018-04-10	MH600668	USA	N
A/Florida/5446/2016	2016-05-04	CY210017	USA	N
A/Florida/55/2015	2015-07-04	KT843979	USA	N
A/Florida/55/2016	2016-04-05	KX416864	USA	N
A/Florida/55/2018	2018-04-10	MH600673	USA	N
A/Florida/55/2019	2019-04-18	MN222074	USA	N
A/Florida/56/2018	2018-04-17	MH600681	USA	N
A/Florida/56/2019	2019-04-23	MN222082	USA	N
A/Florida/5629/2016	2016-12-20	CY234911	USA	N
A/Florida/5630/2016	2016-12-13	CY234912	USA	N
A/Florida/57/2015	2015-07-26	KT844244	USA	N
A/Florida/57/2017	2017-08-06	CY243718	USA	N
A/Florida/5759/2017	2017-01-12	CY243871	USA	N
A/Florida/5760/2017	2017-01-23	CY243872	USA	N
A/Florida/58/2015	2015-07-25	KT844252	USA	N
A/Florida/58/2017	2017-08-14	CY243742	USA	N
A/Florida/5882/2017	2017-01-30	CY243994	USA	N
A/Florida/59/2015	2015-08-09	KT843857	USA	N
A/Florida/59/2018	2018-04-28	MH600689	USA	N
A/Florida/59/2019	2019-04-23	MN222098	USA	N
A/Florida/5928/2017	2017-01-24	CY244040	USA	N
A/Florida/5974/2017	2017-02-14	CY244086	USA	N
A/Florida/60/2017	2017-08-19	CY245062	USA	N
A/Florida/6047/2017	2017-02-21	CY244159	USA	N
A/Florida/61/2017	2017-08-29	CY246966	USA	N
A/Florida/6101/2017	2017-02-27	CY244213	USA	N
A/Florida/6102/2017	2017-03-14	CY244214	USA	N
A/Florida/62/2015	2015-08-18	KT843873	USA	N
A/Florida/62/2018	2018-05-09	MH669691	USA	N
A/Florida/62/2019	2019-04-30	MN423726	USA	N
A/Florida/6273/2017	2017-03-10	CY244385	USA	N
A/Florida/6274/2017	2017-03-17	CY244386	USA	N
A/Florida/6275/2017	2017-03-17	CY244387	USA	N
A/Florida/63/2017	2017-09-06	CY245270	USA	N
A/Florida/6364/2017	2017-10-20	MH294711	USA	N
A/Florida/64/2016	2016-05-05	KX918220	USA	N
A/Florida/64/2017	2017-09-06	CY245278	USA	N
A/Florida/64/2019	2019-05-06	MN372679	USA	N
A/Florida/6459/2017	2017-12-08	MH294825	USA	N
A/Florida/6460/2017	2017-12-11	MH294826	USA	N
A/Florida/6461/2017	2017-12-13	MH294827	USA	N
A/Florida/6462/2017	2017-12-19	MH294828	USA	N
A/Florida/6463/2017	2017-12-19	MH294829	USA	N
A/Florida/65/2018	2018-05-24	MH729477	USA	N
A/Florida/65/2019	2019-05-06	MN372687	USA	N
A/Florida/6528/2017	2017-12-13	MH294894	USA	N
A/Florida/6529/2017	2017-12-20	MH294895	USA	N
A/Florida/6531/2017	2017-12-21	MH294897	USA	N
A/Florida/6534/2017	2017-12-28	MH294900	USA	N
A/Florida/6674/2018	2018-01-10	MH779022	USA	N
A/Florida/6675/2018	2018-01-18	MH779023	USA	N
A/Florida/6679/2017	2017-12-22	MH779027	USA	N
A/Florida/67/2016	2016-05-11	KX918348	USA	N
A/Florida/67/2019	2019-05-14	MN372500	USA	N
A/Florida/6771/2018	2018-01-23	MH885185	USA	N
A/Florida/6772/2018	2018-01-24	MH885186	USA	N
A/Florida/6776/2018	2018-01-08	MH885190	USA	N
A/Florida/6778/2018	2018-01-04	MH885192	USA	N
A/Florida/6779/2018	2018-01-11	MH885193	USA	N
A/Florida/6780/2017	2017-12-31	MH885194	USA	N
A/Florida/68/2016	2016-06-13	KX916796	USA	N
A/Florida/69/2015	2015-09-15	KU589883	USA	N
A/Florida/7019/2018	2018-01-11	MK382007	USA	N
A/Florida/7020/2018	2018-01-05	MK382008	USA	N
A/Florida/71/2019	2019-05-21	MN372703	USA	N
A/Florida/72/2015	2015-09-15	KU590210	USA	N
A/Florida/72/2017	2017-10-06	CY257725	USA	N
A/Florida/7213/2018	2018-02-01	MK401379	USA	N
A/Florida/73/2017	2017-10-15	CY255965	USA	N
A/Florida/7338/2018	2018-02-01	MK502416	USA	N
A/Florida/7339/2018	2018-02-12	MK502424	USA	N
A/Florida/74/2015	2015-10-03	KU590342	USA	N
A/Florida/74/2016	2016-09-07	KY115982	USA	N
A/Florida/75/2015	2015-10-01	KU590350	USA	N
A/Florida/7501/2018	2018-09-28	MK271171	USA	N
A/Florida/76/2015	2015-10-20	KX412012	USA	N
A/Florida/7691/2018	2018-12-12	MK635589	USA	N
A/Florida/7692/2018	2018-12-12	MK635590	USA	N
A/Florida/7693/2018	2018-12-18	MK635979	USA	N
A/Florida/7696/2018	2018-12-24	MK636003	USA	N
A/Florida/77/2015	2015-10-24	KU591767	USA	N
A/Florida/78/2015	2015-10-22	KU591774	USA	N
A/Florida/78/2016	2016-09-30	KY116470	USA	N
A/Florida/78/2017	2017-10-27	CY258284	USA	N
A/Florida/78/2019	2019-06-24	MN371541	USA	N
A/Florida/79/2015	2015-10-26	KX412029	USA	N
A/Florida/79/2016	2016-10-03	KY116454	USA	N
A/Florida/79/2019	2019-06-26	MN371549	USA	N
A/Florida/7972/2019	2019-01-14	MK743298	USA	N
A/Florida/7979/2019	2019-01-23	MK743322	USA	N
A/Florida/80/2019	2019-06-29	MN371557	USA	N
A/Florida/81/2015	2015-10-05	KU591087	USA	N
A/Florida/81/2016	2016-10-03	KY289109	USA	N
A/Florida/8127/2019	2019-01-27	MK763576	USA	N
A/Florida/8128/2019	2019-01-30	MK763584	USA	N
A/Florida/82/2015	2015-10-26	KU591614	USA	N
A/Florida/82/2016	2016-10-03	CY208960	USA	N
A/Florida/83/2016	2016-10-14	CY208968	USA	N
A/Florida/83/2018	2018-09-04	MK181719	USA	N
A/Florida/84/2015	2015-11-06	KU591527	USA	N
A/Florida/84/2017	2017-10-23	CY266050	USA	N
A/Florida/85/2015	2015-11-02	KU591638	USA	N
A/Florida/85/2019	2019-07-19	MN552572	USA	N
A/Florida/8584/2019	2019-02-01	MK869115	USA	N
A/Florida/8585/2019	2019-02-01	MK869123	USA	N
A/Florida/8586/2019	2019-02-02	MK869131	USA	N
A/Florida/8588/2019	2019-02-03	MK869139	USA	N
A/Florida/86/2017	2017-10-24	CY266098	USA	N
A/Florida/86/2019	2019-07-28	MN552580	USA	N
A/Florida/87/2015	2015-11-08	KU591653	USA	N
A/Florida/87/2016	2016-10-27	KY289044	USA	N
A/Florida/87/2017	2017-10-25	CY266082	USA	N
A/Florida/87/2018	2018-09-26	MK363643	USA	N
A/Florida/87/2019	2019-08-01	MN552588	USA	N
A/Florida/8746/2019	2019-03-07	MK912622	USA	N
A/Florida/8747/2019	2019-03-07	MK912630	USA	N
A/Florida/90/2015	2015-11-16	KX413425	USA	N
A/Florida/90/2019	2019-08-01	MN581528	USA	N
A/Florida/9037/2019	2019-03-13	MN169440	USA	N
A/Florida/91/2015	2015-12-01	KX413489	USA	N
A/Florida/91/2019	2019-08-12	MN581536	USA	N
A/Florida/92/2016	2016-11-05	CY210567	USA	N
A/Florida/92/2018	2018-10-18	MK446132	USA	N
A/Florida/93/2015	2015-12-04	KX413497	USA	N
A/Florida/93/2017	2017-11-13	CY266178	USA	N
A/Florida/93/2019	2019-09-02	MN638507	USA	N
A/Florida/9340/2019	2019-03-20	MK960444	USA	N
A/Florida/94/2015	2015-11-16	KX003421	USA	N
A/Florida/94/2019	2019-09-04	MN638515	USA	N
A/Florida/9472/2019	2019-04-01	MN074242	USA	N
A/Florida/9473/2019	2019-04-01	MN074250	USA	N
A/Florida/9478/2019	2019-04-05	MN074282	USA	N
A/Florida/95/2016	2016-11-11	CY210575	USA	N
A/Florida/95/2017	2017-11-18	CY261415	USA	N
A/Florida/96/2015	2015-12-07	KX413609	USA	N
A/Florida/96/2016	2016-11-15	CY210583	USA	N
A/Florida/96/2018	2018-10-18	MK363475	USA	N
A/Florida/9664/2019	2019-04-20	MN081122	USA	N
A/Florida/9665/2019	2019-04-21	MN081130	USA	N
A/Florida/97/2015	2015-12-14	KX413649	USA	N
A/Florida/97/2017	2017-11-29	CY264361	USA	N
A/Florida/97/2019	2019-09-10	MN948612	USA	N
A/Florida/98/2015	2015-12-11	KX413657	USA	N
A/Florida/98/2016	2016-11-20	CY212010	USA	N
A/Florida/9820/2019	2019-05-17	MN245935	USA	N
A/Florida/9851/2019	2019-09-17	MN656015	USA	N
A/Florida/99/2018	2018-11-02	MK363491	USA	N
A/Fukuoka/DS-248/2015	2015-01-06	LC155867	Japan	N
A/Fukuoka/DS-323v/2015	2015-01-10	LC155876	Japan	N
A/Fukuoka/DS-384v/2015	2015-01-15	LC155878	Japan	N
A/Fukuoka/DS-461v/2015	2015-01-24	LC155887	Japan	N
A/Fukuoka/DS-462v/2015	2015-01-23	LC155888	Japan	N
A/Fukuoka/DS-472/2015	2015-01-24	LC155889	Japan	N
A/Fukuoka/DS-482v/2015	2015-01-26	LC155890	Japan	N
A/Gainesville/09/2016	2016-09-06	KY697310	USA	N
A/Gainesville/10/2016	2016-09-06	KY697318	USA	N
A/Gainesville/10/2017	2017-01-26	KY697358	USA	N
A/Gainesville/13/2016	2016-12-20	KY697326	USA	N
A/Gainesville/13/2017	2017-02-20	MG928453	USA	N
A/Georgia/01/2017	2017-01-10	CY220055	USA	N
A/Georgia/01/2018	2018-01-02	MG974317	USA	N
A/Georgia/03/2015	2015-01-06	KT841101	USA	N
A/Georgia/03/2016	2016-01-12	KX412798	USA	N
A/Georgia/03/2018	2018-01-13	MH126356	USA	N
A/Georgia/04/2017	2017-01-09	CY216033	USA	N
A/Georgia/05/2015	2015-01-02	KT841455	USA	N
A/Georgia/05/2017	2017-02-15	CY223926	USA	N
A/Georgia/05/2019	2019-01-21	MK676768	USA	N
A/Georgia/06/2015	2015-01-02	KT841450	USA	N
A/Georgia/06/2017	2017-02-15	CY223934	USA	N
A/Georgia/06/2019	2019-01-24	MK676947	USA	N
A/Georgia/07/2015	2015-01-02	KT841103	USA	N
A/Georgia/07/2017	2017-03-16	CY232372	USA	N
A/Georgia/08/2017	2017-03-20	CY232380	USA	N
A/Georgia/08/2018	2018-01-21	MH126681	USA	N
A/Georgia/09/2019	2019-02-09	MN222109	USA	N
A/Georgia/10/2017	2017-06-13	CY247142	USA	N
A/Georgia/10/2019	2019-02-10	MN246778	USA	N
A/Georgia/11/2017	2017-07-24	CY247134	USA	N
A/Georgia/12/2017	2017-08-23	CY247126	USA	N
A/Georgia/12/2018	2018-02-08	MH585940	USA	N
