strain	date	accession	country	region	segment_name
A/Basel/USB002878.4/2017	2017-01-31	MN299813	Switzerland	N	4
A/Basel/USB002885.4/2017	2017-01-28	MN299789	Switzerland	N	4
A/Basel/USB002888.4/2017	2017-01-28	MN299792	Switzerland	N	4
A/Basel/USB002891.4/2017	2017-01-29	MN299795	Switzerland	N	4
A/Basel/USB002895.4/2017	2017-01-30	MN299798	Switzerland	N	4
A/Basel/USB002900.4/2017	2017-01-30	MN299803	Switzerland	N	4
A/Basel/USB002913.4/2017	2017-01-31	MN299806	Switzerland	N	4
A/Basel/USB002915.4/2017	2017-01-31	MN299808	Switzerland	N	4
A/Basel/USB002920.4/2017	2017-01-31	MN299818	Switzerland	N	4
A/Basel/USB002921.4/2017	2017-02-01	MN299820	Switzerland	N	4
A/Basel/USB002922.4/2017	2017-02-01	MN299819	Switzerland	N	4
A/Basel/USB002960.4/2017	2017-02-02	MN299825	Switzerland	N	4
A/Basel/USB002962.4/2017	2017-02-02	MN299824	Switzerland	N	4
A/Basel/USB002964.4/2017	2017-02-02	MN299827	Switzerland	N	4
A/Basel/USB002970.4/2017	2017-02-03	MN299833	Switzerland	N	4
A/Basel/USB002971.4/2017	2017-02-03	MN299834	Switzerland	N	4
A/Basel/USB002982.4/2017	2017-02-04	MN299846	Switzerland	N	4
A/Basel/USB002985.4/2017	2017-02-03	MN299843	Switzerland	N	4
A/Basel/USB002986.4/2017	2017-02-04	MN299848	Switzerland	N	4
A/Basel/USB002987.4/2017	2017-02-04	MN299849	Switzerland	N	4
A/Basel/USB002991.4/2017	2017-02-04	MN299854	Switzerland	N	4
A/Basel/USB002992.4/2017	2017-02-04	MN299853	Switzerland	N	4
A/Basel/USB002994.4/2017	2017-02-04	MN299856	Switzerland	N	4
A/Basel/USB002995.4/2017	2017-02-05	MN299857	Switzerland	N	4
A/Basel/USB003009.4/2017	2017-02-05	MN299861	Switzerland	N	4
A/Basel/USB003013.4/2017	2017-02-06	MN299864	Switzerland	N	4
A/Basel/USB003014.4/2017	2017-02-06	MN299865	Switzerland	N	4
A/Basel/USB003018.4/2017	2017-02-06	MN299866	Switzerland	N	4
A/Basel/USB003019.4/2017	2017-02-07	MN299867	Switzerland	N	4
A/Basel/USB003026.4/2017	2017-02-07	MN299873	Switzerland	N	4
A/Basel/USB003035.4/2017	2017-02-08	MN299881	Switzerland	N	4
A/Basel/USB003036.4/2017	2017-02-08	MN299880	Switzerland	N	4
A/Basel/USB003038.4/2017	2017-02-09	MN299882	Switzerland	N	4
A/Basel/USB003044.4/2017	2017-02-09	MN299886	Switzerland	N	4
A/Basel/USB003103.4/2017	2017-02-10	MN299888	Switzerland	N	4
A/Basel/USB003105.4/2017	2017-02-11	MN299890	Switzerland	N	4
A/Basel/USB003106.4/2017	2017-02-11	MN299891	Switzerland	N	4
A/Basel/USB003107.4/2017	2017-02-11	MN299892	Switzerland	N	4
A/Basel/USB003111.4/2017	2017-02-12	MN299895	Switzerland	N	4
A/Basel/USB003115.4/2017	2017-02-13	MN299898	Switzerland	N	4
A/Basel/USB003116.4/2017	2017-02-13	MN299897	Switzerland	N	4
A/Basel/USB003118.4/2017	2017-02-14	MN299900	Switzerland	N	4
A/Basel/USB003119.4/2017	2017-02-14	MN299901	Switzerland	N	4
A/Basel/USB003123.4/2017	2017-02-15	MN299904	Switzerland	N	4
A/Basel/USB003124.4/2017	2017-02-16	MN299905	Switzerland	N	4
A/Basel/USB003125.4/2017	2017-02-17	MN299906	Switzerland	N	4
A/Basel/USB003126.4/2017	2017-02-17	MN299907	Switzerland	N	4
A/Basel/USB003130.4/2017	2017-02-18	MN299909	Switzerland	N	4
A/Basel/USB003294.4/2017	2017-02-19	MN299911	Switzerland	N	4
A/Basel/USB003295.4/2017	2017-02-19	MN299912	Switzerland	N	4
A/Basel/USB003297.4/2017	2017-02-20	MN299914	Switzerland	N	4
A/Basel/USB003298.4/2017	2017-02-20	MN299913	Switzerland	N	4
A/Basel/USB003303.4/2017	2017-02-22	MN299919	Switzerland	N	4
A/Basel/USB003304.4/2017	2017-02-23	MN299920	Switzerland	N	4
A/Basel/USB003305.4/2017	2017-02-24	MN299921	Switzerland	N	4
A/Basel/USB003307.4/2017	2017-02-25	MN299923	Switzerland	N	4
A/Basel/USB003308.4/2017	2017-02-25	MN299924	Switzerland	N	4
A/Basel/USB003311.4/2017	2017-03-01	MN299927	Switzerland	N	4
A/Basel/USB003315.4/2017	2017-03-08	MN299929	Switzerland	N	4
A/Basel/USB003316.4/2017	2017-03-11	MN299930	Switzerland	N	4
A/Basel/USB003317.4/2017	2017-03-12	MN299931	Switzerland	N	4
A/Basel/USB003318.4/2017	2017-03-12	MN299932	Switzerland	N	4
A/Basel/USB003319.4/2017	2017-03-13	MN299933	Switzerland	N	4
A/Basel/USB003323.4/2017	2017-03-22	MN299934	Switzerland	N	4
A/Basel/USB003329.4/2016	2016-11-30	MN299375	Switzerland	N	4
A/Basel/USB003332.4/2016	2016-12-27	MN299377	Switzerland	N	4
A/Basel/USB003341.4/2016	2016-12-27	MN299378	Switzerland	N	4
A/Basel/USB003348.4/2016	2016-12-30	MN299385	Switzerland	N	4
A/Basel/USB003356.4/2017	2017-01-04	MN299393	Switzerland	N	4
A/Basel/USB003358.4/2017	2017-01-05	MN299395	Switzerland	N	4
A/Basel/USB003359.4/2017	2017-01-05	MN299396	Switzerland	N	4
A/Basel/USB003362.4/2017	2017-01-06	MN299399	Switzerland	N	4
A/Basel/USB003366.4/2017	2017-01-09	MN299402	Switzerland	N	4
A/Basel/USB003369.4/2017	2017-01-11	MN299405	Switzerland	N	4
A/Basel/USB003420.4/2017	2017-01-17	MN299419	Switzerland	N	4
A/Basel/USB003421.4/2017	2017-01-18	MN299420	Switzerland	N	4
A/Basel/USB003425.4/2017	2017-01-19	MN299424	Switzerland	N	4
A/Basel/USB003427.4/2017	2017-01-21	MN299425	Switzerland	N	4
A/Basel/USB003428.4/2017	2017-01-21	MN299426	Switzerland	N	4
A/Basel/USB003431.4/2017	2017-01-23	MN299429	Switzerland	N	4
A/Basel/USB003433.4/2017	2017-01-23	MN299430	Switzerland	N	4
A/Basel/USB003434.4/2017	2017-01-25	MN299431	Switzerland	N	4
A/Basel/USB003435.4/2017	2017-01-26	MN299432	Switzerland	N	4
A/Basel/USB003442.4/2017	2017-01-30	MN299438	Switzerland	N	4
A/Basel/USB003450.4/2017	2017-02-01	MN299445	Switzerland	N	4
A/Basel/USB003476.4/2017	2017-02-02	MN299448	Switzerland	N	4
A/Basel/USB003497.4/2017	2017-02-03	MN299449	Switzerland	N	4
A/Basel/USB003500.4/2017	2017-02-04	MN299452	Switzerland	N	4
A/Basel/USB003504.4/2017	2017-02-05	MN299456	Switzerland	N	4
A/Basel/USB003509.4/2017	2017-02-06	MN299461	Switzerland	N	4
A/Basel/USB003513.4/2017	2017-02-10	MN299465	Switzerland	N	4
A/Basel/USB003514.4/2017	2017-02-11	MN299466	Switzerland	N	4
A/Basel/USB003516.4/2017	2017-02-12	MN299468	Switzerland	N	4
A/Basel/USB003523.4/2017	2017-02-16	MN299474	Switzerland	N	4
A/Basel/USB003526.4/2017	2017-02-17	MN299477	Switzerland	N	4
A/Basel/USB003527.4/2017	2017-02-18	MN299478	Switzerland	N	4
A/Basel/USB003528.4/2017	2017-02-21	MN299479	Switzerland	N	4
A/Basel/USB003529.4/2017	2017-02-25	MN299480	Switzerland	N	4
A/Basel/USB003530.4/2017	2017-02-25	MN299481	Switzerland	N	4
A/Basel/USB003531.4/2017	2017-03-06	MN299482	Switzerland	N	4
A/Beijing/PUMCH02/2017	2017-08-07	MF673163	China	N	4
A/Beijing/PUMCH12/2017	2017-08-07	MG759371	China	N	4
A/Brisbane/1/2017	2017-01-02	CY255561	Australia	S	4
A/Brisbane/1001/2016	2016-07-13	CY254529	Australia	S	4
A/Brisbane/1002/2018	2018-07-17	MN568135	Australia	S	4
A/Brisbane/1004/2016	2016-07-25	CY254753	Australia	S	4
A/Brisbane/1008/2016	2016-08-09	CY254937	Australia	S	4
A/Brisbane/1009/2016	2016-08-10	CY254945	Australia	S	4
A/Brisbane/101/2017	2017-06-13	MN568143	Australia	S	4
A/Brisbane/1014/2016	2016-08-16	CY254889	Australia	S	4
A/Brisbane/105/2017	2017-07-12	MN568175	Australia	S	4
A/Brisbane/110/2017	2017-07-13	MN568191	Australia	S	4
A/Brisbane/112/2018	2018-07-25	MN568199	Australia	S	4
A/Brisbane/113/2017	2017-07-24	MN568207	Australia	S	4
A/Brisbane/115/2018	2018-07-19	MN568215	Australia	S	4
A/Brisbane/122/2016	2016-06-09	CY254537	Australia	S	4
A/Brisbane/122/2017	2017-07-19	MN568255	Australia	S	4
A/Brisbane/123/2017	2017-07-18	MN568263	Australia	S	4
A/Brisbane/133/2017	2017-07-26	MN568287	Australia	S	4
A/Brisbane/135/2017	2017-08-12	MN568303	Australia	S	4
A/Brisbane/137/2017	2017-08-01	MN568335	Australia	S	4
A/Brisbane/138/2017	2017-08-10	MN568351	Australia	S	4
A/Brisbane/139/2017	2017-08-10	MN568359	Australia	S	4
A/Brisbane/14/2018	2018-02-01	MN568367	Australia	S	4
A/Brisbane/142/2017	2017-08-14	MN568399	Australia	S	4
A/Brisbane/148/2017	2017-08-15	MN568447	Australia	S	4
A/Brisbane/155/2017	2017-08-29	MN568479	Australia	S	4
A/Brisbane/156/2018	2018-10-18	MN568495	Australia	S	4
A/Brisbane/157/2017	2017-08-28	MN568503	Australia	S	4
A/Brisbane/158/2016	2016-08-04	CY254729	Australia	S	4
A/Brisbane/161/2017	2017-08-28	MN568543	Australia	S	4
A/Brisbane/162/2017	2017-08-23	MN568559	Australia	S	4
A/Brisbane/164/2017	2017-09-04	MN568567	Australia	S	4
A/Brisbane/165/2016	2016-07-31	CY254737	Australia	S	4
A/Brisbane/167/2017	2017-09-06	MN568591	Australia	S	4
A/Brisbane/171/2017	2017-09-17	MN568623	Australia	S	4
A/Brisbane/175/2017	2017-08-31	MN568631	Australia	S	4
A/Brisbane/178/2017	2017-09-12	MN568655	Australia	S	4
A/Brisbane/18/2017	2017-01-23	MN568671	Australia	S	4
A/Brisbane/180/2017	2017-09-23	MN568679	Australia	S	4
A/Brisbane/20/2017	2017-01-29	MN568703	Australia	S	4
A/Brisbane/200/2016	2016-08-29	CY255017	Australia	S	4
A/Brisbane/224/2016	2016-09-25	CY255185	Australia	S	4
A/Brisbane/225/2016	2016-08-25	CY255193	Australia	S	4
A/Brisbane/231/2016	2016-09-07	CY255201	Australia	S	4
A/Brisbane/273/2016	2016-10-17	CY255313	Australia	S	4
A/Brisbane/280/2016	2016-10-27	CY255401	Australia	S	4
A/Brisbane/285/2016	2016-10-20	CY255321	Australia	S	4
A/Brisbane/287/2016	2016-10-24	CY255329	Australia	S	4
A/Brisbane/290/2016	2016-10-15	CY255409	Australia	S	4
A/Brisbane/291/2016	2016-11-03	CY255337	Australia	S	4
A/Brisbane/296/2016	2016-11-07	CY255417	Australia	S	4
A/Brisbane/298/2016	2016-10-29	CY255425	Australia	S	4
A/Brisbane/299/2016	2016-10-29	CY255433	Australia	S	4
A/Brisbane/3/2017	2017-01-04	CY255569	Australia	S	4
A/Brisbane/30/2016	2016-01-27	CY254273	Australia	S	4
A/Brisbane/30/2017	2017-02-28	MN568767	Australia	S	4
A/Brisbane/300/2016	2016-10-30	CY255441	Australia	S	4
A/Brisbane/302/2016	2016-10-31	CY255449	Australia	S	4
A/Brisbane/303/2016	2016-10-23	CY255457	Australia	S	4
A/Brisbane/31/2018	2018-03-01	MN568775	Australia	S	4
A/Brisbane/324/2016	2016-12-31	CY255553	Australia	S	4
A/Brisbane/42/2018	2018-03-28	MN568815	Australia	S	4
A/Brisbane/45/2018	2018-04-17	MN568839	Australia	S	4
A/Brisbane/66/2016	2016-03-08	CY254305	Australia	S	4
A/Brisbane/67/2018	2018-05-21	MN568903	Australia	S	4
A/Brisbane/68/2016	2016-03-14	CY254313	Australia	S	4
A/Brisbane/73/2018	2018-06-11	MN568919	Australia	S	4
A/Brisbane/75/2017	2017-05-11	MN568935	Australia	S	4
A/Brisbane/8/2018	2018-01-05	MN568951	Australia	S	4
A/Brisbane/85/2018	2018-07-01	MN568959	Australia	S	4
A/Brisbane/86/2017	2017-05-24	MN568967	Australia	S	4
A/Brisbane/87/2017	2017-05-24	MN568975	Australia	S	4
A/Brisbane/89/2018	2018-06-21	MN569007	Australia	S	4
A/California/02/2016	2016-01-07	KX413825	USA	N	4
A/California/03/2016	2016-01-06	KX413977	USA	N	4
A/California/05/2016	2016-01-02	KX414001	USA	N	4
A/California/08/2017	2017-01-10	CY216425	USA	N	4
A/California/100/2017	2017-10-20	CY256309	USA	N	4
A/California/101/2016	2016-03-25	KX918116	USA	N	4
A/California/103/2017	2017-10-22	CY256285	USA	N	4
A/California/105/2016	2016-04-07	KX918100	USA	N	4
A/California/105/2017	2017-10-23	CY256365	USA	N	4
A/California/106/2017	2017-10-26	CY256349	USA	N	4
A/California/109/2017	2017-10-05	CY258388	USA	N	4
A/California/11/2016	2016-01-06	KX414201	USA	N	4
A/California/11/2017	2017-01-20	CY219244	USA	N	4
A/California/110/2016	2016-04-17	KX918036	USA	N	4
A/California/110/2017	2017-10-05	CY258396	USA	N	4
A/California/111/2016	2016-04-20	KX918028	USA	N	4
A/California/113/2017	2017-10-25	CY258372	USA	N	4
A/California/118/2016	2016-05-30	KX916452	USA	N	4
A/California/118/2017	2017-11-05	CY260833	USA	N	4
A/California/12/2016	2016-01-12	KX916996	USA	N	4
A/California/12/2017	2017-01-20	CY219252	USA	N	4
A/California/120/2016	2016-06-27	KX916324	USA	N	4
A/California/120/2017	2017-11-06	CY260849	USA	N	4
A/California/121/2016	2016-07-09	KY003564	USA	N	4
A/California/122/2016	2016-07-12	KY003522	USA	N	4
A/California/124/2016	2016-08-10	KY116374	USA	N	4
A/California/125/2016	2016-08-10	KY116382	USA	N	4
A/California/125/2017	2017-11-15	CY260841	USA	N	4
A/California/126/2016	2016-08-10	CY211578	USA	N	4
A/California/126/2017	2017-10-28	CY261359	USA	N	4
A/California/127/2016	2016-09-24	KY116406	USA	N	4
A/California/128/2017	2017-10-30	CY261367	USA	N	4
A/California/129/2016	2016-10-05	CY211586	USA	N	4
A/California/13/2016	2016-01-14	KX414313	USA	N	4
A/California/13/2017	2017-01-23	CY219236	USA	N	4
A/California/130/2017	2017-11-19	CY261383	USA	N	4
A/California/132/2016	2016-10-02	KY116590	USA	N	4
A/California/133/2017	2017-11-26	CY261399	USA	N	4
A/California/135/2016	2016-10-09	KY116582	USA	N	4
A/California/137/2016	2016-10-02	KY289583	USA	N	4
A/California/138/2017	2017-12-02	CY264417	USA	N	4
A/California/139/2016	2016-10-16	CY210230	USA	N	4
A/California/141/2016	2016-10-20	KY289593	USA	N	4
A/California/143/2016	2016-10-26	KY289347	USA	N	4
A/California/144/2016	2016-10-27	KY289450	USA	N	4
A/California/144/2017	2017-11-20	CY265205	USA	N	4
A/California/145/2016	2016-10-17	KY289374	USA	N	4
A/California/146/2016	2016-10-17	KY289326	USA	N	4
A/California/147/2016	2016-10-17	KY289329	USA	N	4
A/California/15/2017	2017-01-03	CY220391	USA	N	4
A/California/150/2016	2016-11-02	KY289384	USA	N	4
A/California/151/2016	2016-11-02	KY289355	USA	N	4
A/California/151/2017	2017-12-11	CY265197	USA	N	4
A/California/154/2016	2016-10-08	CY209392	USA	N	4
A/California/156/2016	2016-10-15	CY209408	USA	N	4
A/California/157/2016	2016-10-17	CY209416	USA	N	4
A/California/175/2016	2016-11-05	CY212538	USA	N	4
A/California/176/2016	2016-11-26	CY212530	USA	N	4
A/California/178/2016	2016-11-28	CY212522	USA	N	4
A/California/179/2016	2016-12-03	CY212490	USA	N	4
A/California/18/2017	2017-01-28	CY220255	USA	N	4
A/California/180/2016	2016-12-09	CY212498	USA	N	4
A/California/182/2016	2016-12-02	CY212970	USA	N	4
A/California/185/2016	2016-12-13	CY212906	USA	N	4
A/California/186/2016	2016-12-14	CY212882	USA	N	4
A/California/189/2016	2016-12-15	CY212922	USA	N	4
A/California/190/2016	2016-12-15	CY212978	USA	N	4
A/California/191/2016	2016-12-15	CY212986	USA	N	4
A/California/195/2016	2016-12-23	CY214098	USA	N	4
A/California/196/2016	2016-12-23	CY214114	USA	N	4
A/California/198/2016	2016-12-23	CY214146	USA	N	4
A/California/20/2016	2016-01-26	KX414321	USA	N	4
A/California/20/2017	2017-01-29	CY220263	USA	N	4
A/California/203/2016	2016-12-25	CY214162	USA	N	4
A/California/208/2016	2016-12-25	CY214922	USA	N	4
A/California/209/2016	2016-12-26	CY214898	USA	N	4
A/California/21/2016	2016-01-20	KX414329	USA	N	4
A/California/21/2017	2017-01-30	CY220271	USA	N	4
A/California/212/2016	2016-12-29	CY214874	USA	N	4
A/California/213/2016	2016-12-30	CY214866	USA	N	4
A/California/22/2017	2017-02-01	CY220399	USA	N	4
A/California/24/2016	2016-01-03	KX414337	USA	N	4
A/California/24/2017	2017-01-09	CY220703	USA	N	4
A/California/25/2016	2016-01-16	KX414345	USA	N	4
A/California/26/2017	2017-01-31	CY220671	USA	N	4
A/California/27/2017	2017-02-02	CY220679	USA	N	4
A/California/29/2017	2017-01-29	CY221973	USA	N	4
A/California/35/2017	2017-02-17	CY224150	USA	N	4
A/California/36/2016	2016-02-06	KX414697	USA	N	4
A/California/36/2017	2017-02-18	CY224158	USA	N	4
A/California/38/2016	2016-01-20	KX414872	USA	N	4
A/California/38/2017	2017-03-08	CY234248	USA	N	4
A/California/40/2016	2016-02-15	KX414817	USA	N	4
A/California/41/2016	2016-02-15	KX414825	USA	N	4
A/California/43/2016	2016-01-11	KX414864	USA	N	4
A/California/47/2016	2016-02-04	KX415120	USA	N	4
A/California/49/2016	2016-02-01	KX415136	USA	N	4
A/California/4932/2016	2016-01-25	CY208165	USA	N	4
A/California/50/2017	2017-02-01	CY228869	USA	N	4
A/California/52/2017	2017-02-02	CY228877	USA	N	4
A/California/54/2016	2016-02-03	KX415144	USA	N	4
A/California/58/2017	2017-05-31	CY236000	USA	N	4
A/California/59/2017	2017-06-26	CY242030	USA	N	4
A/California/60/2017	2017-07-01	CY242038	USA	N	4
A/California/61/2016	2016-01-09	KX917036	USA	N	4
A/California/62/2016	2016-01-12	KX415208	USA	N	4
A/California/63/2016	2016-01-15	KX415216	USA	N	4
A/California/63/2017	2017-07-26	CY242366	USA	N	4
A/California/64/2016	2016-01-21	KX415224	USA	N	4
A/California/6670/2017	2017-12-29	MH779018	USA	N	4
A/California/6763/2018	2018-01-22	MH885177	USA	N	4
A/California/69/2016	2016-02-24	KX415784	USA	N	4
A/California/70/2016	2016-02-08	KX415800	USA	N	4
A/California/72/2017	2017-08-23	CY245166	USA	N	4
A/California/7330/2018	2018-05-01	MK502352	USA	N	4
A/California/75/2017	2017-07-30	CY245358	USA	N	4
A/California/80/2016	2016-02-15	KX415936	USA	N	4
A/California/82/2016	2016-02-16	KX415944	USA	N	4
A/California/82/2017	2017-10-04	CY255901	USA	N	4
A/California/83/2017	2017-10-01	CY256133	USA	N	4
A/California/85/2017	2017-10-02	CY256109	USA	N	4
A/California/86/2017	2017-10-03	CY260356	USA	N	4
A/California/88/2016	2016-02-25	KX415952	USA	N	4
A/California/89/2017	2017-10-06	CY256069	USA	N	4
A/California/91/2017	2017-10-16	CY256117	USA	N	4
A/California/92/2017	2017-10-17	CY256125	USA	N	4
A/California/94/2016	2016-02-29	KX415968	USA	N	4
A/California/96/2016	2016-03-15	KX416680	USA	N	4
A/California/96/2017	2017-10-18	CY256269	USA	N	4
A/California/98/2016	2016-03-20	KX416688	USA	N	4
A/California/BRD12461N/2017	2017-12-06	MH701092	USA	N	4
A/California/BRD12490N/2018	2018-01-04	MH701100	USA	N	4
A/California/BRD41695N/2017	2017-12-06	MH701156	USA	N	4
A/California/BRD41925N/2018	2018-02-18	MH700956	USA	N	4
A/California/BRD80830N/2017	2017-11-06	MH701244	USA	N	4
A/California/ESX0105/2018	2018-01-10	MH701260	USA	N	4
A/California/FDX12025/2017	2017-11-16	MH701268	USA	N	4
A/California/JX42057/2018	2018-01-25	MH701308	USA	N	4
A/California/JX42061/2018	2018-01-26	MH701316	USA	N	4
A/California/MAP4145A/2017	2017-11-30	MH701340	USA	N	4
A/California/MAP4166A/2018	2018-01-08	MH701348	USA	N	4
A/California/MAP4171A/2018	2018-01-12	MH701356	USA	N	4
A/California/NEPMU5-ILI-0008/2017	2017-12-28	MH701380	USA	N	4
A/California/NEPMU5-ILI-0010/2018	2018-01-16	MH701388	USA	N	4
A/California/NHRC_28270/2017	2017-09-29	MG279314	USA	N	4
A/California/NHRC_BRD12446N/2017	2017-11-06	MG914155	USA	N	4
A/California/NHRC_BRD41618N/2017	2017-11-05	MG914187	USA	N	4
A/California/NHRC_BRD41755N/2017	2017-12-18	MG914227	USA	N	4
A/California/NHRC_BRD80816N/2017	2017-10-30	MG914251	USA	N	4
A/California/NHRC_BRD80823N/2017	2017-10-31	MG914259	USA	N	4
A/California/NHRC_CG5905/2017	2017-04-04	MG279294	USA	N	4
A/California/NHRC_FDX11931/2016	2016-02-12	KY078615	USA	N	4
A/California/NHRC_M2369/2017	2017-12-16	MK898439	USA	N	4
A/California/NHRC_M2921/2017	2017-06-20	MG279262	USA	N	4
A/California/NHRC_MAP4061A/2017	2017-07-06	MG279278	USA	N	4
A/California/NHRC_NEPMU5-ILI-0001/2017	2017-11-01	MK898765	USA	N	4
A/California/QV528/2018	2018-01-07	MH701468	USA	N	4
A/California/QV937/2018	2018-01-12	MH701508	USA	N	4
A/California/SAR20953N/2017	2017-12-08	MH700964	USA	N	4
A/California/SEA0130/2018	2018-01-03	MH701556	USA	N	4
A/Canberra/1001/2016	2016-07-25	CY254713	Australia	S	4
A/Canberra/11/2016	2016-07-20	CY254641	Australia	S	4
A/Canberra/11/2017	2017-05-12	MN569047	Australia	S	4
A/Canberra/15/2017	2017-05-29	MN569079	Australia	S	4
A/Canberra/17/2017	2017-06-09	MN569087	Australia	S	4
A/Canberra/18/2017	2017-06-17	MN569095	Australia	S	4
A/Canberra/2/2017	2017-02-21	MN569103	Australia	S	4
A/Canberra/3/2017	2017-02-19	MN569111	Australia	S	4
A/Canberra/4/2017	2017-02-25	MN569135	Australia	S	4
A/Canberra/53/2017	2017-08-18	MN569143	Australia	S	4
A/Canberra/59/2017	2017-08-24	MN569159	Australia	S	4
A/Canberra/62/2017	2017-08-27	MN569175	Australia	S	4
A/Canberra/7/2016	2016-04-10	CY254329	Australia	S	4
A/Canberra/80/2016	2016-09-18	CY255273	Australia	S	4
A/Canberra/93/2016	2016-10-04	CY255281	Australia	S	4
A/China/573/2017	2017-06-19	MH393250	China	N	4
A/China/574/2017	2017-08-05	MH393251	China	N	4
A/China/585/2017	2017-06-09	MH393252	China	N	4
A/China/587/2017	2017-06-10	MH393253	China	N	4
A/China/70793/2016	2016-01-07	MK641790	China	N	4
A/China/71516/2016	2016-01-25	MK641792	China	N	4
A/China/71517/2016	2016-01-25	MK641791	China	N	4
A/China/71518/2016	2016-01-26	MK641793	China	N	4
A/China/72935/2016	2016-03-08	MK641794	China	N	4
A/China/746/2016	2016-10-31	MH393246	China	N	4
A/China/79879/2016	2016-12-06	MK641795	China	N	4
A/China/79880/2016	2016-12-13	MK641797	China	N	4
A/China/80241/2016	2016-12-06	MK641796	China	N	4
A/China/80974/2016	2016-12-30	MK641798	China	N	4
A/China/81105/2017	2017-01-04	MK641799	China	N	4
A/China/81129/2017	2017-01-05	MK641800	China	N	4
A/China/813/2016	2016-10-31	MH393247	China	N	4
A/China/81891/2017	2017-02-01	MK641801	China	N	4
A/China/940/2016	2016-12-12	MH393249	China	N	4
A/China/GMU-SKLRD03/2017	2017-10-30	MN658587	China	N	4
A/China/S111/2017	2017-09-20	MH393254	China	N	4
A/Colorado/01/2017	2017-01-05	CY214986	USA	N	4
A/Colorado/02/2017	2017-01-05	CY214994	USA	N	4
A/Colorado/03/2016	2016-01-06	KX413961	USA	N	4
A/Colorado/04/2016	2016-01-13	KY044273	USA	N	4
A/Colorado/04/2017	2017-01-24	CY219162	USA	N	4
A/Colorado/05/2017	2017-01-31	CY220583	USA	N	4
A/Colorado/07/2016	2016-01-13	KX414225	USA	N	4
A/Colorado/08/2017	2017-02-03	CY222981	USA	N	4
A/Colorado/09/2017	2017-03-03	CY225374	USA	N	4
A/Colorado/11/2016	2016-01-28	KX414593	USA	N	4
A/Colorado/12/2016	2016-01-28	KX414601	USA	N	4
A/Colorado/12/2017	2017-08-07	CY245422	USA	N	4
A/Colorado/13/2017	2017-08-12	CY245430	USA	N	4
A/Colorado/14/2017	2017-09-01	CY245414	USA	N	4
A/Colorado/15/2016	2016-02-18	KX415040	USA	N	4
A/Colorado/17/2017	2017-10-29	CY258196	USA	N	4
A/Colorado/18/2017	2017-11-02	CY260662	USA	N	4
A/Colorado/19/2017	2017-11-08	CY260670	USA	N	4
A/Colorado/20/2017	2017-11-07	CY261185	USA	N	4
A/Colorado/21/2017	2017-11-17	CY261193	USA	N	4
A/Colorado/22/2016	2016-03-06	KX416096	USA	N	4
A/Colorado/23/2016	2016-03-08	KX416104	USA	N	4
A/Colorado/24/2017	2017-12-04	CY265053	USA	N	4
A/Colorado/25/2017	2017-12-16	CY265061	USA	N	4
A/Colorado/27/2016	2016-03-27	KX416520	USA	N	4
A/Colorado/28/2016	2016-03-30	KX917492	USA	N	4
A/Colorado/31/2016	2016-04-07	KX917804	USA	N	4
A/Colorado/37/2016	2016-04-22	KX917828	USA	N	4
A/Colorado/38/2016	2016-05-01	KX917836	USA	N	4
A/Colorado/41/2016	2016-11-05	CY209096	USA	N	4
A/Colorado/44/2016	2016-11-25	CY212546	USA	N	4
A/Colorado/45/2016	2016-11-25	CY212554	USA	N	4
A/Colorado/47/2016	2016-11-30	CY214178	USA	N	4
A/Colorado/49/2016	2016-12-26	CY218982	USA	N	4
A/Colorado/6525/2017	2017-12-15	MH294891	USA	N	4
A/Colorado/6764/2018	2018-01-17	MH885178	USA	N	4
A/Colorado/6767/2018	2018-01-25	MH885181	USA	N	4
A/Connecticut/03/2017	2017-01-09	CY216473	USA	N	4
A/Connecticut/04/2016	2016-02-15	KX415240	USA	N	4
A/Connecticut/04/2017	2017-01-11	CY216481	USA	N	4
A/Connecticut/06/2016	2016-02-07	KX917052	USA	N	4
A/Connecticut/06/2017	2017-01-18	CY220127	USA	N	4
A/Connecticut/07/2016	2016-02-04	KX415248	USA	N	4
A/Connecticut/08/2017	2017-01-31	CY224934	USA	N	4
A/Connecticut/09/2017	2017-01-31	CY223806	USA	N	4
A/Connecticut/10/2017	2017-02-10	CY227214	USA	N	4
A/Connecticut/11/2017	2017-02-10	CY227222	USA	N	4
A/Connecticut/12/2016	2016-02-16	KX917060	USA	N	4
A/Connecticut/12/2017	2017-03-04	CY235472	USA	N	4
A/Connecticut/13/2016	2016-02-28	KX415592	USA	N	4
A/Connecticut/13/2017	2017-03-05	CY227574	USA	N	4
A/Connecticut/14/2016	2016-02-28	KX415608	USA	N	4
A/Connecticut/17/2017	2017-03-27	CY231139	USA	N	4
A/Connecticut/18/2017	2017-03-28	CY232532	USA	N	4
A/Connecticut/19/2016	2016-03-11	KX918204	USA	N	4
A/Connecticut/19/2017	2017-03-31	CY232540	USA	N	4
A/Connecticut/20/2016	2016-03-16	KX918188	USA	N	4
A/Connecticut/21/2017	2017-04-17	CY234578	USA	N	4
A/Connecticut/22/2017	2017-04-28	CY234778	USA	N	4
A/Connecticut/24/2017	2017-06-13	CY240047	USA	N	4
A/Connecticut/25/2017	2017-06-24	CY240055	USA	N	4
A/Connecticut/26/2016	2016-03-27	KX918180	USA	N	4
